estimator,event_time,coef,se,ban_type
Liu et al. (2022),-10,0.0,0.0,bullock
TWFE,-9,0.9610026347508925,0.9513705241897495,buffalo
TWFE,-8,1.1068308874370518,0.8170033963033301,buffalo
TWFE,-7,-1.1513305529617002,1.2415163258276571,buffalo
TWFE,-6,-1.1262265972975,1.9885684176461507,buffalo
TWFE,-5,-0.037290321196798315,1.4198723088277563,buffalo
TWFE,-4,-1.4015069086032355,1.0587530934208496,buffalo
TWFE,-3,-0.4434400572109358,0.9114836563824363,buffalo
TWFE,-2,0.42967082503402554,1.589214479404249,buffalo
TWFE,-1,0.1541675395283182,0.9213469995086893,buffalo
TWFE,0,0.640519592572674,0.9444206767486626,buffalo
TWFE,1,1.8393327096489722,1.0723145743939009,buffalo
TWFE,2,0.4023127821128687,1.3335547419607645,buffalo
TWFE,3,-0.5199834985272394,0.6939584212907987,buffalo
TWFE,4,1.6986727931098349,0.956825195567095,buffalo
TWFE,5,0.7730353672345422,0.9927622442783219,buffalo
TWFE,6,0.25694509861449166,1.0825285539260763,buffalo
TWFE,7,0.24865842305929625,0.5365070133928046,buffalo
TWFE,8,0.08162132172502123,1.0439046029550998,buffalo
TWFE,9,1.084822452502342,0.859202159653694,buffalo
TWFE,10,0.7623691520215055,1.0430227796463754,buffalo
TWFE,-10,0.0,0.0,buffalo
Gardner (2021),-9,0.2685750951157432,0.0715115288576583,buffalo
Gardner (2021),-8,0.3134172306197656,0.04769988975173527,buffalo
Gardner (2021),-7,-0.25677076254954806,0.1702212092054078,buffalo
Gardner (2021),-6,-0.3732266099007126,0.12107446594357187,buffalo
Gardner (2021),-5,0.027475244718518244,0.1835057701173676,buffalo
Gardner (2021),-4,-0.32072102321626667,0.1513121353627092,buffalo
Gardner (2021),-3,-0.2133634844333253,0.07161773929871743,buffalo
Gardner (2021),-2,-0.08448011324816604,0.17635878746203815,buffalo
Gardner (2021),-1,-0.04465602291049886,0.0839694117619661,buffalo
Gardner (2021),0,1.4779111309774708,1.5937950173214055,buffalo
Gardner (2021),1,1.568739885523433,0.48436898359683944,buffalo
Gardner (2021),2,1.063023966337864,0.00842841291068388,buffalo
Gardner (2021),3,-1.1077593084129451,0.4682242649662102,buffalo
Gardner (2021),4,1.8632431169774841,0.8108962536526154,buffalo
Gardner (2021),5,1.5452623272559622,0.2944974573566381,buffalo
Gardner (2021),6,1.2067578485911559,0.5036597965969797,buffalo
Gardner (2021),7,0.46360220847945666,0.3818035518297533,buffalo
Gardner (2021),8,0.35164656290049473,1.0395309885827337,buffalo
Gardner (2021),9,1.4862960289388119,0.13790570505909178,buffalo
Gardner (2021),10,-0.004718772425094631,0.6860385318042934,buffalo
Gardner (2021),-10,0.0,0.0,buffalo
Cengiz et al. (2019),-9,-0.3935880794283826,0.8656114403704669,buffalo
Cengiz et al. (2019),-8,-0.42779315849863364,0.4580987303741427,buffalo
Cengiz et al. (2019),-7,-0.6977589711639012,0.7149244160084145,buffalo
Cengiz et al. (2019),-6,0.6980467415834406,0.6972227702944427,buffalo
Cengiz et al. (2019),-5,0.7201039344018736,0.1877727619323496,buffalo
Cengiz et al. (2019),-4,-0.3490670356906418,0.22075672262318652,buffalo
Cengiz et al. (2019),-3,0.4412041328439709,0.278664849449995,buffalo
Cengiz et al. (2019),-2,-0.019615585642057454,0.5222691649715447,buffalo
Cengiz et al. (2019),-1,0.6603956073888937,0.37395667679281536,buffalo
Cengiz et al. (2019),0,2.0152388367339014,0.3134413251927021,buffalo
Cengiz et al. (2019),1,2.2582930331217868,0.37370794074583474,buffalo
Cengiz et al. (2019),2,1.4815145397621792,0.34121102464655995,buffalo
Cengiz et al. (2019),3,1.3817234210274152,0.173174019537727,buffalo
Cengiz et al. (2019),4,1.7557618124496848,0.3278764139030366,buffalo
Cengiz et al. (2019),5,1.60236008292091,0.40487133394431946,buffalo
Cengiz et al. (2019),6,1.880149008182316,0.7494119744752107,buffalo
Cengiz et al. (2019),7,1.8311658879901664,0.37357172706110436,buffalo
Cengiz et al. (2019),8,1.568576219982471,0.3283194982251394,buffalo
Cengiz et al. (2019),9,1.3334413669226546,0.4147539071010212,buffalo
Cengiz et al. (2019),10,1.6329327886353449,0.5725795241800942,buffalo
Cengiz et al. (2019),-10,0.0,0.0,buffalo
Liu et al. (2022),-9,0.8241851739893471,1.4005085142119942,buffalo
Liu et al. (2022),-8,0.9520576405156411,1.3494772756931672,buffalo
Liu et al. (2022),-7,-1.758584603465021,1.4529001975744593,buffalo
Liu et al. (2022),-6,-1.8077977247538515,1.8159365051230003,buffalo
Liu et al. (2022),-5,-0.12285438455020614,1.461668013357738,buffalo
Liu et al. (2022),-4,-1.581594596815577,1.4239812604737612,buffalo
Liu et al. (2022),-3,-0.845100558638581,1.3557478302760155,buffalo
Liu et al. (2022),-2,0.1900799436617233,1.9767841083226667,buffalo
Liu et al. (2022),-1,-0.06650341863655851,1.7347670067987722,buffalo
Liu et al. (2022),0,0.04732341596711309,1.5628940236115647,buffalo
Liu et al. (2022),1,1.5840466222197054,1.3527740705459195,buffalo
Liu et al. (2022),2,0.13215427568415938,1.4172535792663021,buffalo
Liu et al. (2022),3,-1.0453997543654148,1.1483993697341783,buffalo
Liu et al. (2022),4,1.5989279964039107,1.4196321484412988,buffalo
Liu et al. (2022),5,0.6516231954593259,1.2146421801314558,buffalo
Liu et al. (2022),6,-0.04901130047779095,1.56437686150393,buffalo
Liu et al. (2022),7,-0.15199048515610758,1.0221210341450617,buffalo
Liu et al. (2022),8,-0.4830757561541378,1.234225279473886,buffalo
Liu et al. (2022),9,0.8657426654566666,1.1854696777517475,buffalo
Liu et al. (2022),10,0.2507370554946057,1.1003977189803964,buffalo
Liu et al. (2022),-10,0.0,0.0,buffalo
